days,9.00,10.00,11.00,12.00,13.00,14.00,15.00,16.00
Mo,,Singh Dr. Sakshi A R-II_B2 AR-120 A-307,Rana Dr. Pooja A R-II_B2_B AR-162,Rana Dr. Pooja A R-II_B2_B AR-162,,Nimanpure Dr. Subhas A R-II_B2 AR-116 A-307,Rana Dr. Pooja A R-II_B2 AR-118 A-307,
Mo,,,Arora Dr. Amar A R-II_B2_A AR-152 AUB-03 Com Lab,Arora Dr. Amar A R-II_B2_A AR-152 AUB-03 Com Lab,,,,
Tu,,Arora Dr. Amar A R-II_B2 AR-102 A-307,Nimanpure Dr. Subhas A R-II_B2 AR-116 A-307,,Pal Ms. Geetanshi A R-II_B2_A AR-166 AUB-03 Com Lab,Pal Ms. Geetanshi A R-II_B2_A AR-166 AUB-03 Com Lab,Rana Dr. Pooja A R-II_B2 AR-118 A-307,Singh Dr. Arti A R-II_B2 AR-104 A-307
Tu,,,,,Singh Dr. Sakshi A R-II_B2_B AR-164 AUB ED Lab,Singh Dr. Sakshi A R-II_B2_B AR-164 AUB ED Lab,,
We,,Rana Dr. Pooja A R-II_B2 AR-118 A-307,Singh Dr. Arti A R-II_B2 AR-104 A-307,,Pal Ms. Geetanshi A R-II_B2_B AR-166 A-007 Com Lab,Pal Ms. Geetanshi A R-II_B2_B AR-166 A-007 Com Lab,Singh Dr. Sakshi A R-II_B2 AR-120 A-307,
We,,,,,Nimanpure Dr. Subhas A R-II_B2_A AR-160 AUB-05-Electrical Lab,Nimanpure Dr. Subhas A R-II_B2_A AR-160 AUB-05-Electrical Lab,,
Th,,Arora Dr. Amar A R-II_B2 AR-102 A-405,Nimanpure Dr. Subhas A R-II_B2 AR-116 A-307,,Singh Dr. Arti A R-II_B2 AR-104 A-307,Singh Dr. Sakshi A R-II_B2 AR-120 A-307,,
Fr,,Arora Dr. Amar A R-II_B2 AR-102 A-103,Nimanpure Dr. Subhas A R-II_B2_B AR-160 AUB-05-Electrical Lab,Nimanpure Dr. Subhas A R-II_B2_B AR-160 AUB-05-Electrical Lab,,Arora Dr. Amar A R-II_B2_B AR-152 A-203 Com Lab,Arora Dr. Amar A R-II_B2_B AR-152 A-203 Com Lab,
Fr,,,Anand Dr. Sourabh A R-II_B2_A AR-164 AUB ED Lab,Anand Dr. Sourabh A R-II_B2_A AR-164 AUB ED Lab,,Rana Dr. Pooja A R-II_B2_A AR-162,Rana Dr. Pooja A R-II_B2_A AR-162,
